customer_uuid;customer_email;customer_phone_number
d536073b-1fb3-4f6d-bf7a-7eac8792a07b;leekathleen@example.com;001-705-212-0327
676b5911-658a-4c09-a704-234fe51db3b9;marcuscarrillo@example.org;808.226.3318
6e79b034-2081-4bac-85d4-abb765fbf87b;stephenlloyd@example.net;876.359.8112
17a2fe89-227c-4d8c-ad8a-f4b3b59fc94c;brianscott@example.com;001-566-409-8599x59625
ab08041c-ab86-49cd-89bc-d3aaf4d91dad;reyestravis@example.com;230-580-9183
3cd8139b-3f73-4c26-a13f-7161fec32c0f;danieljones@example.net;947-652-4050x612
80d64db2-2dc2-454e-9486-6830bc95a457;patriciajones@example.org;474-295-6919
aa869ed1-f8ab-4f36-96d8-2b0f759bd5fb;wfigueroa@example.com;+1-902-544-3332x346
7e4b8b1b-e307-4f95-8a22-6ada831f83d4;yatkinson@example.net;(866)979-7209x0449
00c0d9be-2915-4fd1-9f6c-70e9710c08da;bennettlisa@example.net;001-671-787-6743x27608
a19872bc-d3b5-48af-b095-10b1f73f47d6;diazkatherine@example.com;001-505-581-7814x99469
6ec59d61-d26d-4e63-823c-af739b01f2e0;michelleschneider@example.net;2497765945
47f152e8-acb3-4784-b703-f5005915e012;vaughnerika@example.org;935.521.5181x1590
8857b265-26d0-469e-a36a-4dedaef65fb2;nicole06@example.org;448-296-0816
580c0150-fc10-4596-9dd1-d2bb0f756ec4;smartin@example.net;484-758-9972
bad644f5-cc23-45d5-9780-3a712b549314;dawngarcia@example.com;(260)307-6176x0306
f8da162f-80ec-46da-842d-901b409e7ccf;rfisher@example.net;+1-560-445-1322x945
bac1c825-2f5c-480c-8701-bf19ad948c76;kerickson@example.org;386.863.0274x053
e95ceed3-c247-4b7b-b73b-8e3668426fb2;michaelbenjamin@example.com;584-490-9611x133
5e2e34a0-7a13-48d6-9691-4000655d3b4d;rcoffey@example.org;001-906-711-9237x52967
2fa6335e-7ca4-46b5-a19a-836b3d23544a;rebecca91@example.net;406.512.2560
35571b1c-c712-439d-acf4-c8b18b5eff4c;laurentaylor@example.org;567.650.7886x05550
e899bc3b-c760-43ce-9615-13d02624a36c;omeyer@example.org;635.364.5967
d9d99e13-f224-4f16-bc25-0d5ee8968b10;kellysuarez@example.org;340.791.2019
b4a87feb-83d9-47dd-9e6b-17500656a9a5;wilsonelizabeth@example.org;(960)481-8513
ee3e7062-5c93-4c09-bdf3-0323f9731f5f;ashleynguyen@example.org;701-878-2395
8c1f7884-7ca8-4cb6-8711-0bc1260e29f2;johnsoncolin@example.net;987.429.7504x94933
83886ada-638f-427c-82b9-861d0ba75c98;lisa15@example.com;573-522-0911x57267
e54c3482-570e-48a4-97b1-27fa927da1f5;morristanya@example.com;001-725-628-6800x31742
54935bb0-e283-4c92-9abe-4e848dd9b173;billy38@example.org;001-563-261-8059
edbbd70a-eab9-4711-86b0-d596d68c4b8c;crosslarry@example.net;977-886-3894
2976ffe2-0d33-4af9-b734-7a2c1e908c7d;williamsdaniel@example.com;(836)435-4337
aee7a182-801e-4fab-b872-c25cd5e18a4b;eric85@example.net;+1-232-333-4291x23350
e25dcc36-e533-455a-aee6-abcb4bfefb0a;patrickandrea@example.com;367-334-5370x0465
b0ca7a87-157a-4008-aef3-4def9b528164;jenniferknight@example.org;523-659-4422x2226
449f59e6-9592-429a-9530-707c8c7ddd19;shelleymann@example.com;(271)340-4297x73723
4f3cdc56-252b-44c8-8fe5-8409142cc384;josejensen@example.net;001-610-570-1520x2482
f9f2676f-5672-48a6-81bd-2e0c5253ba04;jamiegarner@example.com;(785)912-7659
a215246f-df93-43f1-af47-e136e5522257;fmcneil@example.net;001-330-211-5349x2482
28155fc1-44d7-4e06-a275-ca11a89ca868;owilliams@example.com;431-568-6817
2a1b67a9-f749-4b0b-9399-2dcc6ea9225a;ufigueroa@example.com;7698524141
337efd26-0365-4d57-8c2d-cb5428a18258;xavierevans@example.net;+1-798-312-4930x522
9d64553e-12b9-43ea-9c83-bba7aa8bfd37;catherine69@example.com;898.459.4915x613
ebc74036-2828-4d5e-8f2f-d4fa88779452;anthonybell@example.com;(830)853-7261x502
